"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/chamokh/posts/10231421224814212","Happy Birthday  vaiya 🎁🎈🎂","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421213213922","Happy Birthday 🎂🍨","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421204013692","Happy Birthday! 💕❣️❣️❣️","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421163052668","শুভ জন্মদিন বন্ধু","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421133131920","Happy Birthday Bhaiya. May Allah bless you and live long . <3","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421063490179","Happy birthday  Bhaiya","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421042089644","শুভ জন্মদিন প্রিয় ভাইয়া ❤️","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421005248723","শুভ জন্মদিন...","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231420974887964","Happy Birthday, Chamok!","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231420816964016","Happy Birthday vai ❤️❤️❤️","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231420779363076","শুভ জন্মদিন ভাইয়া","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231420492955916","শুভ জন্মদিন। অনেক শুভকামনা রইল।","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231420157547531","শুভ জন্মদিন ভাইয়া 🎂❤","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231419483690685","শুভ হোক চিরদিন, শুভ জন্মদিন ভাইয়া....💐🎂💐","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231419003038669","Happy Birthday. Many many happy returns of the day.","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231418050774863","শুভ জন্মদিন বন্ধু, একদিন মহাকাব্য থেকে জয় কর সিন্ধু!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231418035494481","Happy Birthday Bhaaia😍🤩🥳","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231418005973743","Happy Birthday 🎂🎈🎊","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231417928291801","শুভ জন্মদিন, ভাইয়া <3","1","0","0"
